x1	y1	sd1	x2	y2	sd2
0.4	0	0	0.5	0.79467	0.01021
0.463	0	0	1	0.80333	0.01155
0.536	0	0	1.5	0.80167	0.01021
0.621	0	0	2	0.8	0.01044
0.719	0	0	2.5	0.79533	0.00981
0.833	0	0	3	0.79467	0.01012
0.965	0	0	3.5	0.791	0.01127
1.12	0	0	4	0.788	0.01127
1.29	0	0	4.5	0.785	0.01039
1.5	0	0	5.5	0.78	0.01039
1.74	0	0	6.5	0.77333	0.00981
2.01	0	0	7.5	0.76767	0.01012
2.33	0	0	8.5	0.76167	0.01012
2.7	0	0	9.5	0.75633	0.01069
3.12	0	0	10.5	0.75033	0.00981
3.62	0	0	11.5	0.74467	0.01012
4.19	0	0	12.5	0.73933	0.00981
4.85	0	0	14.5	0.72833	0.00987
5.61	0	0	16.5	0.71733	0.00987
6.5	0	0	18.5	0.70667	0.00929
7.53	0	0	20.5	0.696	0.00964
8.72	0	0	22.5	0.68567	0.01012
10.1	0	0	24.5	0.67567	0.00929
11.7	0	0	26.5	0.66533	0.00987
13.5	0	0	28.5	0.656	0.00964
15.7	0	0	32.5	0.63667	0.00945
18.2	0	0	36.5	0.61867	0.00945
21	0	0	40.5	0.60067	0.00945
24.4	0	0	44.5	0.58367	0.00945
28.2	0	0	48.5	0.56633	0.00929
32.7	0	0	52.5	0.55033	0.00929
37.8	0.138	0.11962	56.5	0.534	0.00917
43.8	1.51333	0.45654	60.5	0.519	0.00917
50.7	4.17	0.6879	68.5	0.48967	0.00874
58.8	7.51333	0.6601	76.5	0.46167	0.00907
68.1	10.73333	0.40415	84.5	0.43633	0.00862
78.8	13.13333	0.11547	92.5	0.41167	0.00808
91.3	14.26667	0.46188	101	0.389	0.00819
106	13.9	0.7	109	0.36733	0.00802
122	12.26667	0.73711	117	0.347	0.00755
142	9.69667	0.5577	125	0.32833	0.00702
164	6.7	0.26627	141	0.29333	0.00702
190	3.86333	0.10408	157	0.26267	0.00651
220	1.66667	0.21385	173	0.23533	0.00603
255	0.39367	0.16805	189	0.21067	0.00551
295	0	0	205	0.189	0.005
342	0	0	221	0.17033	0.00451
396	0	0	237	0.15267	0.00404
459	0	0	253	0.13767	0.00404
531	0	0	285	0.111	0.003
615	0	0	317	0.0901	0.0026
712	0	0	349	0.0732	0.00205
825	0	0	381	0.05967	0.00162
955	0	0	413	0.04907	0.00153
1110	0	0	445	0.04053	0.00118
1280	0	0	477	0.03347	0.00116
1480	0	0	509	0.02807	0.00111
1720	0	0	573	0.0194	0.0013
1990	0	0	637	0.01367	0.00127
2300	0	0	701	0.01005	0.00128
2670	0	0	765	0.00754	8.66E-04
3090	0	0	829	0.00602	0.001
3580	0	0	893	0.00524	0.00133
4150	0	0	957	0.00432	0.00108
4800	0	0	1020	0.00336	8.37E-04
5560	0	0	1150	0.00228	8.48E-04
6440	0	0	1280	0.00158	5.80E-04
7460	0	0	1400	0.00105	6.24E-05
8630	0	0	1530	0.00111	6.02E-04
			1660	0.00121	6.61E-04
			1790	9.77E-04	4.91E-04
			1920	0.00109	2.32E-04
			2040	8.99E-04	5.26E-04
			2300	6.51E-04	6.76E-04
			2560	0.00115	5.11E-04
			2810	0.00159	6.58E-04
			3070	0.00161	0.00128
			3320	0.00105	5.06E-04
			3580	6.29E-04	3.78E-04
			3840	7.99E-04	3.31E-04
			4090	0.00157	8.56E-04
			4600	9.76E-04	6.98E-04
			5120	0.001	7.70E-04
			5630	8.85E-04	6.77E-04
			6140	0.0012	9.08E-04
			6650	7.09E-04	7.71E-04
			7160	0.00117	2.39E-04
			7680	0.00151	5.46E-04
			8190	9.02E-04	5.46E-04
			9210	9.57E-04	4.83E-04
			10200	8.85E-04	1.68E-04
			11300	0.00112	4.07E-04
			12300	7.63E-04	1.61E-04
			13300	0.00112	4.67E-04
			14300	0.00129	5.40E-04
			15400	8.84E-04	6.21E-04
			16400	8.32E-04	3.87E-04
			18400	5.02E-04	1.79E-04
			20500	8.67E-04	1.43E-04
			22500	6.30E-04	2.49E-04
			24600	6.39E-04	5.04E-04
			26600	6.30E-04	3.49E-04
			28700	8.36E-04	4.75E-04
			30700	7.24E-04	6.31E-05
			32800	4.85E-04	2.28E-04
			36900	5.41E-04	2.18E-04
			41000	4.76E-04	3.57E-04
			45100	7.91E-04	2.33E-04
			49100	6.06E-04	3.26E-04
			53200	8.11E-04	5.80E-05
			57300	3.66E-04	3.29E-04
			61400	6.21E-04	2.26E-04
			65500	2.91E-04	2.30E-04
			73700	5.52E-04	2.64E-04
			81900	7.40E-04	4.10E-04
			90100	3.55E-04	7.21E-05
			98300	3.35E-04	3.60E-04
			106000	6.03E-04	2.24E-04
			115000	1.81E-04	9.68E-05
			123000	1.91E-04	1.89E-04
			131000	2.55E-04	6.81E-05
			147000	3.15E-04	3.18E-05
			164000	4.48E-04	2.36E-05
			180000	4.60E-04	1.27E-04
			197000	1.21E-04	1.07E-04
			213000	2.83E-04	1.78E-04
			229000	2.87E-04	2.19E-04
			246000	3.52E-04	8.64E-05
			262000	2.86E-04	5.97E-05
			295000	4.07E-04	1.75E-04
			328000	5.58E-04	2.64E-04
			360000	4.04E-04	8.51E-05
			393000	4.47E-04	1.50E-04
			426000	3.89E-04	2.93E-04
			459000	4.89E-04	1.53E-04
			492000	1.72E-04	7.86E-05
			524000	2.68E-04	7.10E-05
			590000	3.97E-04	1.62E-04
			655000	2.61E-04	6.36E-05
			721000	4.58E-04	1.29E-04
			786000	2.53E-04	2.24E-04
			852000	1.99E-04	6.25E-05
			918000	3.57E-04	1.37E-04
			983000	4.26E-04	2.08E-04
			1.05E+06	6.85E-04	2.67E-04
			1.18E+06	4.13E-04	2.13E-04
			1.31E+06	4.03E-04	2.58E-04
			1.44E+06	5.16E-04	2.64E-04
			1.57E+06	5.23E-04	4.98E-04
			1.70E+06	6.46E-04	1.87E-04
			1.84E+06	5.00E-04	4.98E-04
			1.97E+06	6.87E-04	3.33E-04
			2.10E+06	6.50E-04	4.42E-04
			2.36E+06	5.99E-04	4.96E-04
			2.62E+06	6.39E-04	2.65E-04
			2.88E+06	5.03E-04	1.72E-04
			3.15E+06	7.82E-04	2.73E-04
			3.41E+06	5.40E-04	2.03E-04
			3.67E+06	6.55E-04	4.11E-04
			3.93E+06	7.63E-04	3.96E-04
			4.19E+06	0	0
			4.72E+06	0	0
			5.24E+06	0	0
			5.77E+06	0	0
			6.29E+06	0	0
			6.82E+06	0	0
			7.34E+06	0	0
			7.86E+06	0	0
			8.39E+06	0	0
			9.44E+06	0	0
			1.05E+07	0	0
			1.15E+07	0	0
			1.26E+07	0	0
			1.36E+07	0	0
			1.47E+07	0	0
			1.57E+07	0	0
			1.68E+07	0	0
			1.89E+07	0	0
			2.10E+07	0	0
			2.31E+07	0	0
			2.52E+07	0	0
			2.73E+07	0	0
			2.94E+07	0	0
			3.15E+07	0	0
			3.36E+07	0	0
			3.77E+07	0	0
			4.19E+07	0	0
			4.61E+07	0	0
			5.03E+07	0	0
			5.45E+07	0	0
			5.87E+07	0	0
