x1	x2
262	221
350	335
89	296
156	271
123	369
839	187
749	187
897	165
529	198
727	156
814	372
346	320
313	280
297	158
222	123
179	179
150	221
110	287
474	156
243	174
199	74
102	492
601	221
254	278
281	278
110	311
123	246
102	590
102	730
126	473
172	541
833	419
148	375
474	308
199	321
227	300
133	242
78	233
385	257
150	132
148	210
346	187
102	280
188	104
254	288
222	132
298	78
74	517
188	156
49	198
70	253
78	49
123	278
99	288
110	406
148	198
297	104
571	568
246	483
298	421
174	662
404	376
382	335
257	443
179	919
25	197
55	212
99	223
70	352
99	376
89	139
212	78
287	74
329	125
281	223
266	296
281	419
419	449
262	320
369	532
275	221
188	197
178	412
99	271
126	280
234	192
571	232
199	212
305	55
172	320
421	55
281	330
248	253
514	210
212	470
203	89
203	220
188	473
89	192
150	78
179	187
1066	89
389	494
246	221
839	512
389	478
199	363
148	197
102	467
220	595
123	382
144	931
74	646
144	369
266	806
203	242
172	210
78	304
348	375
518	467
223	275
251	382
126	964
296	187
394	278
469	187
199	321
222	400
179	324
158	419
246	363
199	101
74	123
156	143
123	98
222	311
222	342
469	174
78	321
74	174
197	246
389	125
463	148
123	125
315	165
172	777
123	221
123	397
305	179
498	172
178	242
884	209
640	203
963	143
684	156
1158	197
822	174
1108	822
628	665
599	275
192	221
469	148
139	187
110	227
174	198
172	174
102	150
123	352
126	295
49	296
297	174
150	295
74	110
102	203
78	247
486	275
1306	101
150	187
366	324
178	558
99	342
104	110
102	98
197	78
139	132
123	242
133	192
78	227
99	257
192	123
133	220
99	55
353	179
197	363
89	174
126	148
298	490
330	355
99	470
172	730
74	345
102	125
148	132
110	177
647	132
484	253
681	221
222	78
815	376
725	528
330	331
540	174
718	370
422	246
647	369
144	473
275	98
172	342
514	101
422	123
74	123
272	363
335	320
266	755
70	854
133	992
74	192
78	412
210	150
156	179
178	89
197	242
148	55
99	232
275	275
353	514
449	223
476	220
430	177
669	179
123	321
89	165
165	223
123	311
123	172
89	343
199	275
188	55
798	198
89	98
74	546
179	172
25	150
74	397
188	616
592	174
1571	299
197	232
739	123
74	156
297	385
620	223
345	98
281	275
517	49
877	591
906	528
765	797
172	517
227	713
243	883
542	507
123	174
287	148
174	132
174	223
234	98
227	210
275	172
850	74
232	89
126	179
74	345
227	150
99	212
148	311
220	394
74	385
174	330
78	132
99	104
609	89
74	295
1306	358
197	498
419	110
751	251
110	221
248	297
246	227
158	179
99	143
156	78
197	246
395	156
663	101
123	430
320	335
1020	324
794	98
663	158
1016	372
1296	139
575	172
443	174
251	478
298	530
248	148
243	691
667	328
89	209
305	470
406	210
281	275
714	172
419	74
883	197
1011	227
838	295
593	375
99	110
144	192
