Sample	time	tech_rep	rep	gene	ct
No_treatment	144	1	1	TBP	24.158
No_treatment	144	1	1	TBP	24.500
No_treatment	144	1	1	TBP	24.510
NF	144	2	1	TBP	24.004
NF	144	2	1	TBP	24.424
NF	144	2	1	TBP	24.637
NF_CopFNDsiRNA	144	3	1	TBP	22.297
NF_CopFNDsiRNA	144	3	1	TBP	22.370
NF_CopFNDsiRNA	144	3	1	TBP	22.313
No_treatment	144	4	1	MMP-9	34.377
No_treatment	144	4	1	MMP-9	34.069
No_treatment	144	4	1	MMP-9	34.245
NF	144	5	1	MMP-9	33.638
NF	144	5	1	MMP-9	33.616
NF	144	5	1	MMP-9	33.678
NF_CopFNDsiRNA	144	6	1	MMP-9	34.827
NF_CopFNDsiRNA	144	6	1	MMP-9	34.381
NF_CopFNDsiRNA	144	6	1	MMP-9	34.397
No_treatment	144	7	2	TBP	24.940
No_treatment	144	7	2	TBP	24.720
No_treatment	144	7	2	TBP	24.780
NF	144	8	2	TBP	28.930
NF	144	8	2	TBP	28.850
NF	144	8	2	TBP	28.790
NF_CopFNDsiRNA	144	9	2	TBP	36.270
NF_CopFNDsiRNA	144	9	2	TBP	38.170
NF_CopFNDsiRNA	144	9	2	TBP	37.090
No_treatment	144	10	2	MMP-9	31.710
No_treatment	144	10	2	MMP-9	31.580
No_treatment	144	10	2	MMP-9	31.560
NF	144	11	2	MMP-9	35.490
NF	144	11	2	MMP-9	35.700
NF	144	11	2	MMP-9	35.250
NF_CopFNDsiRNA	144	12	2	MMP-9	50.000
NF_CopFNDsiRNA	144	12	2	MMP-9	50.000
NF_CopFNDsiRNA	144	12	2	MMP-9	50.000
No_treatment	144	13	3	TBP	36.973
No_treatment	144	13	3	TBP	35.940
No_treatment	144	13	3	TBP	36.656
NF	144	14	3	TBP	38.527
NF	144	14	3	TBP	36.169
NF	144	14	3	TBP	36.163
NF_CopFNDsiRNA	144	15	3	TBP	35.798
NF_CopFNDsiRNA	144	15	3	TBP	35.790
NF_CopFNDsiRNA	144	15	3	TBP	36.114
No_treatment	144	16	3	MMP-9	34.431
No_treatment	144	16	3	MMP-9	34.672
No_treatment	144	16	3	MMP-9	34.400
NF	144	17	3	MMP-9	35.944
NF	144	17	3	MMP-9	35.091
NF	144	17	3	MMP-9	35.131
NF_CopFNDsiRNA	144	18	3	MMP-9	35.419
NF_CopFNDsiRNA	144	18	3	MMP-9	35.861
NF_CopFNDsiRNA	144	18	3	MMP-9	35.603
