sample	ct_TBP	ct_MMP9	techrep	exp
ctrl	24.158	34.377	1	1
ctrl	24.500	34.069	1	1
ctrl	24.510	34.245	1	1
nf	24.004	33.638	2	1
nf	24.424	33.616	2	1
nf	24.637	33.678	2	1
siR	22.297	34.827	3	1
siR	22.370	34.381	3	1
siR	22.313	34.397	3	1
ctrl	24.940	31.710	4	2
ctrl	24.720	31.580	4	2
ctrl	24.780	31.560	4	2
nf	28.930	35.490	5	2
nf	28.850	35.700	5	2
nf	28.790	35.250	5	2
siR	36.270	50.000	6	2
siR	38.170	50.000	6	2
siR	37.090	50.000	6	2
ctrl	36.973	34.431	7	3
ctrl	35.940	34.672	7	3
ctrl	36.656	34.400	7	3
nf	38.527	35.944	8	3
nf	36.169	35.091	8	3
nf	36.163	35.131	8	3
siR	35.798	35.419	9	3
siR	35.790	35.861	9	3
siR	36.114	35.603	9	3
